student_id,cgpa,academic_backlogs,internships,internship_quality,certifications,projects,communication_skills,extra_curricular,college_tier,branch,placement_rate,market_demand,region,year,placed_3m,placed_6m,placed_12m,salary_lpa,delayed_placement_risk,loan_amount,emi_monthly,income_coverage_ratio
STUD_00027,6.12,2,1,medium,2,2,9.9,1,2,Mechanical,0.596,medium,South,2025,1,1,0,8.12,0,1772000.0,30341.0,10.0
STUD_00028,7.95,0,1,medium,2,3,6.6,1,2,Mechanical,0.688,low,South,2025,1,1,1,9.34,0,2083000.0,28694.0,10.0
STUD_00029,6.78,1,0,low,0,2,6.9,1,1,CSE,0.812,high,North,2026,0,1,1,9.64,0,1286000.0,22023.0,10.0
STUD_00030,7.15,1,0,none,3,2,5.0,1,2,MBA,0.65,low,South,2025,0,0,1,8.51,0,996000.0,17051.0,10.0
STUD_00031,6.78,0,2,low,1,4,7.4,4,2,Civil,0.653,high,North,2026,0,1,1,8.69,0,1693000.0,28983.0,10.0
STUD_00032,9.72,0,1,none,1,8,8.5,1,2,CSE,0.615,low,South,2023,1,0,1,10.99,0,2414000.0,41326.0,10.0
STUD_00033,7.48,0,0,medium,4,1,7.5,4,2,ECE,0.703,high,West,2025,1,1,1,9.48,0,2001000.0,43507.0,10.0
STUD_00034,6.23,0,1,medium,2,3,6.7,1,2,CSE,0.737,medium,South,2025,1,1,1,9.09,0,1028000.0,17600.0,10.0
STUD_00035,8.49,3,1,medium,3,7,10.0,2,3,MBA,0.542,medium,South,2023,1,1,1,7.34,0,1248000.0,21369.0,10.0
STUD_00036,6.03,0,1,low,1,3,4.1,0,2,Mechanical,0.624,low,East,2024,0,1,1,9.48,0,2261000.0,38720.0,10.0
STUD_00037,7.75,0,2,low,3,3,7.5,0,1,CSE,0.767,medium,West,2024,0,1,1,9.46,0,1831000.0,25219.0,10.0
STUD_00038,5.15,0,1,medium,0,6,7.2,1,2,MBA,0.656,medium,South,2026,0,0,1,7.82,0,1478000.0,25304.0,10.0
STUD_00039,5.91,1,1,medium,3,3,6.3,1,3,CSE,0.525,high,West,2026,0,0,1,6.7,1,3250000.0,44763.0,10.0
STUD_00040,7.74,0,0,none,2,3,7.6,2,3,MBA,0.574,medium,North,2024,0,1,1,9.44,0,1974000.0,27186.0,10.0
STUD_00041,8.39,0,0,medium,1,2,8.8,2,2,ECE,0.697,high,South,2026,0,1,1,7.48,0,1012000.0,13945.0,10.0
STUD_00042,7.71,2,1,low,1,2,7.5,1,2,CSE,0.611,high,South,2026,1,1,1,9.21,0,2127000.0,46243.0,10.0
STUD_00043,7.36,2,2,low,1,1,7.7,2,3,CSE,0.677,high,South,2024,0,1,1,10.28,0,1762000.0,38314.0,10.0
STUD_00044,7.14,2,0,low,2,1,8.4,0,1,CSE,0.673,high,North,2026,1,1,1,10.29,0,2995000.0,65115.0,10.0
STUD_00045,5.73,3,1,none,2,1,5.3,3,2,Mechanical,0.607,low,West,2024,0,1,1,7.33,0,1656000.0,28352.0,10.0
STUD_00046,6.64,1,1,none,3,5,5.9,1,2,ECE,0.662,low,South,2025,0,1,1,7.0,1,1377000.0,29934.0,10.0
STUD_00047,6.95,0,1,medium,2,3,8.0,1,2,CSE,0.762,high,North,2024,1,1,1,8.99,0,2558000.0,43794.0,10.0
STUD_00048,8.77,0,1,high,3,4,8.7,4,2,CSE,0.622,high,East,2025,1,1,1,9.47,0,2476000.0,42394.0,10.0
STUD_00049,7.91,0,0,low,2,1,5.9,4,1,CSE,0.697,high,East,2026,1,1,1,9.15,0,2187000.0,30120.0,10.0
STUD_00050,5.38,2,0,medium,2,4,4.2,2,2,Mechanical,0.677,high,North,2025,1,1,1,8.68,0,3080000.0,66970.0,10.0
STUD_00051,7.89,1,1,low,3,4,7.3,0,1,Mechanical,0.738,high,South,2023,0,1,1,11.61,0,2840000.0,48623.0,10.0
STUD_00052,7.04,0,0,high,4,1,8.1,4,2,CSE,0.683,high,East,2026,0,0,1,8.21,0,1455000.0,20042.0,10.0
STUD_00053,6.69,1,0,low,3,5,3.3,2,2,ECE,0.646,medium,West,2025,1,0,1,8.85,0,2020000.0,43916.0,10.0
STUD_00054,8.23,1,3,none,2,5,6.6,0,2,CSE,0.607,high,West,2026,1,1,1,9.85,0,1572000.0,34183.0,10.0
STUD_00055,8.74,0,1,high,2,10,6.8,3,1,Civil,0.867,medium,West,2024,0,1,1,11.16,0,1259000.0,27367.0,10.0
STUD_00056,8.62,0,1,medium,1,3,10.0,2,2,Civil,0.502,high,South,2025,1,1,1,10.82,0,1825000.0,31242.0,10.0
STUD_00057,6.49,1,2,low,0,2,6.1,2,2,Mechanical,0.741,medium,East,2025,0,1,1,8.84,0,2145000.0,46632.0,10.0
STUD_00058,7.13,1,2,medium,2,4,6.8,3,2,Civil,0.697,medium,North,2026,1,1,1,9.01,0,2399000.0,52168.0,10.0
STUD_00059,7.9,0,0,none,6,4,7.0,2,2,MBA,0.613,medium,South,2024,0,1,1,7.45,0,1572000.0,34188.0,10.0
STUD_00060,8.67,0,2,medium,1,2,8.7,1,2,MBA,0.744,high,West,2026,0,1,1,11.82,0,1435000.0,31191.0,10.0
STUD_00061,6.92,1,2,medium,0,1,8.3,3,1,ECE,0.681,high,East,2023,0,1,1,10.17,0,1705000.0,37081.0,10.0
STUD_00062,7.28,1,0,low,3,5,6.9,0,1,CSE,0.8,high,South,2023,1,1,1,10.62,0,1131000.0,24585.0,10.0
STUD_00063,6.17,1,1,medium,3,2,6.3,1,2,CSE,0.546,high,South,2024,0,1,1,10.89,0,1983000.0,43118.0,10.0
STUD_00064,6.06,1,0,none,0,5,9.1,2,2,CSE,0.593,high,East,2023,0,1,1,8.86,0,1794000.0,30726.0,10.0
STUD_00065,8.48,1,3,none,2,5,5.6,1,2,Mechanical,0.593,medium,West,2025,1,1,1,11.67,0,1238000.0,17055.0,10.0
STUD_00066,9.13,0,3,low,0,3,7.6,1,3,CSE,0.512,high,South,2023,0,1,1,9.36,0,2185000.0,30096.0,10.0
STUD_00067,7.41,1,4,high,5,5,5.8,1,3,CSE,0.551,medium,East,2023,1,1,1,9.82,0,1420000.0,19560.0,10.0
STUD_00068,8.7,0,0,none,1,1,6.9,2,3,ECE,0.509,high,South,2026,1,1,1,9.62,0,1937000.0,26679.0,10.0
STUD_00069,7.93,0,0,low,1,4,6.5,2,2,CSE,0.548,high,North,2025,0,1,1,8.54,0,1618000.0,35180.0,10.0
STUD_00070,6.73,0,0,medium,2,8,6.1,1,2,ECE,0.673,high,South,2025,1,0,1,8.44,0,2388000.0,40897.0,10.0
STUD_00071,7.93,0,0,medium,2,2,8.1,1,3,Civil,0.552,high,North,2024,0,1,1,8.77,0,2236000.0,48624.0,10.0
STUD_00072,9.35,0,0,medium,1,3,5.6,4,2,Mechanical,0.67,low,West,2023,0,0,0,9.75,0,1571000.0,34149.0,10.0
STUD_00073,7.46,0,1,high,3,3,8.9,2,2,Mechanical,0.659,medium,South,2024,1,1,1,8.53,0,1092000.0,15038.0,10.0
STUD_00074,9.38,0,2,low,2,3,8.1,0,1,ECE,0.798,high,South,2023,1,1,1,10.19,0,1710000.0,37179.0,10.0
STUD_00075,4.36,1,0,high,2,1,7.3,3,3,ECE,0.546,medium,West,2024,0,1,1,6.91,1,1205000.0,16600.0,10.0
STUD_00076,8.49,0,0,medium,0,3,7.3,1,2,CSE,0.701,medium,South,2024,1,1,0,8.19,0,1124000.0,19245.0,10.0
STUD_00077,7.6,0,0,medium,3,4,7.6,1,2,MBA,0.611,medium,North,2026,1,0,0,8.2,0,2056000.0,35204.0,10.0
STUD_00078,7.14,0,4,low,2,1,6.4,1,2,CSE,0.614,high,West,2026,0,1,1,9.72,0,2162000.0,29780.0,10.0
STUD_00079,7.61,2,3,none,5,2,4.2,3,2,CSE,0.719,medium,North,2026,1,1,1,8.19,0,1870000.0,25764.0,10.0
STUD_00080,5.11,1,0,none,0,2,5.0,1,3,MBA,0.618,high,South,2025,1,0,1,7.58,0,1570000.0,26875.0,10.0
STUD_00081,7.24,1,0,medium,1,6,7.8,4,2,CSE,0.679,high,South,2023,1,0,1,7.45,0,1190000.0,16385.0,10.0
STUD_00082,7.93,0,0,low,1,2,7.2,4,2,ECE,0.606,high,South,2024,1,0,1,10.23,0,1681000.0,28777.0,10.0
STUD_00083,9.27,0,1,low,2,1,7.3,2,2,CSE,0.602,medium,South,2024,0,1,1,11.62,0,1551000.0,21363.0,10.0
STUD_00084,6.88,0,1,medium,1,2,7.4,3,3,CSE,0.616,low,South,2024,0,1,0,7.5,0,2141000.0,46541.0,10.0
STUD_00085,6.53,0,0,medium,3,3,8.2,1,3,CSE,0.614,medium,South,2023,0,1,1,7.13,0,2985000.0,51105.0,10.0
STUD_00086,6.9,1,0,low,1,1,6.3,2,3,CSE,0.547,medium,North,2026,0,1,1,7.63,0,1487000.0,32334.0,10.0
STUD_00087,8.6,2,4,low,0,3,7.9,2,3,Mechanical,0.667,low,East,2025,0,1,1,11.04,0,2250000.0,48920.0,10.0
STUD_00088,7.89,1,0,medium,2,4,3.1,3,1,MBA,0.773,medium,South,2023,1,1,1,12.16,0,1488000.0,32345.0,10.0
STUD_00089,6.86,0,0,low,1,3,5.5,2,3,ECE,0.495,medium,East,2024,0,0,1,7.14,0,1291000.0,17783.0,10.0
STUD_00090,8.12,2,1,high,1,4,7.5,1,2,MBA,0.636,low,South,2024,0,1,1,9.56,0,2330000.0,32093.0,10.0
STUD_00091,7.62,1,0,medium,2,2,5.5,0,3,CSE,0.55,high,North,2023,0,1,1,5.13,1,2299000.0,31674.0,10.0
STUD_00092,8.66,1,0,medium,0,0,8.4,2,2,CSE,0.654,medium,East,2026,0,1,1,8.32,0,861000.0,14739.0,10.0
STUD_00093,6.66,3,3,none,3,1,7.2,0,2,CSE,0.713,medium,East,2024,1,1,1,11.03,0,2041000.0,44376.0,10.0
STUD_00094,7.11,0,3,low,2,4,3.7,1,2,Mechanical,0.602,low,North,2025,0,1,1,8.15,0,1976000.0,27216.0,10.0
STUD_00095,7.03,1,0,medium,0,4,4.7,1,1,ECE,0.683,low,East,2026,0,0,1,9.98,0,2052000.0,28273.0,10.0
STUD_00096,5.74,0,0,none,2,1,9.7,1,2,Mechanical,0.68,low,South,2024,0,1,0,8.68,0,1816000.0,31099.0,10.0
STUD_00097,7.86,0,2,medium,3,2,8.0,1,2,MBA,0.625,low,West,2023,0,1,1,10.36,0,1152000.0,19728.0,10.0
STUD_00098,7.81,1,0,low,4,1,8.5,3,1,ECE,0.871,medium,West,2026,1,1,1,8.97,0,1767000.0,24346.0,10.0
STUD_00099,7.51,1,1,medium,0,7,4.9,0,3,Mechanical,0.597,high,East,2026,1,1,1,5.02,0,689000.0,9497.0,10.0
STUD_00100,7.22,1,2,low,1,1,8.0,0,3,Civil,0.524,high,West,2023,0,0,1,7.7,0,1777000.0,24483.0,10.0
STUD_00101,5.8,1,1,low,0,2,3.7,3,3,CSE,0.611,high,South,2023,1,1,1,5.94,0,1729000.0,37591.0,10.0
STUD_00102,7.0,0,1,medium,0,3,3.1,1,3,ECE,0.587,medium,South,2023,0,1,1,7.12,0,1148000.0,24967.0,10.0
STUD_00103,7.09,1,2,medium,1,4,4.7,3,2,Mechanical,0.682,medium,South,2024,1,1,1,8.86,0,1485000.0,25427.0,10.0
STUD_00104,6.54,0,0,medium,4,3,5.9,4,2,Mechanical,0.644,medium,South,2024,0,1,1,8.16,0,901000.0,12417.0,10.0
STUD_00105,7.31,3,0,low,1,3,5.8,0,1,CSE,0.771,low,East,2025,0,1,1,10.38,0,2580000.0,44171.0,10.0
STUD_00106,7.98,0,0,low,3,5,7.0,1,3,ECE,0.445,high,East,2024,0,1,1,8.13,0,2661000.0,45563.0,10.0
STUD_00107,9.76,0,2,medium,2,2,7.2,2,3,ECE,0.616,low,West,2023,0,1,0,7.36,0,2098000.0,28901.0,10.0
STUD_00108,7.71,2,1,low,0,5,9.3,1,3,ECE,0.378,low,East,2023,0,0,1,8.98,0,2607000.0,56687.0,10.0
STUD_00109,7.81,2,1,medium,0,1,5.5,2,3,CSE,0.528,high,North,2025,1,1,1,5.47,0,1803000.0,39197.0,10.0
STUD_00110,7.41,3,3,high,4,3,10.0,1,2,Civil,0.57,high,North,2024,1,1,1,10.6,0,2310000.0,39546.0,10.0
STUD_00111,5.2,0,0,medium,1,0,8.5,4,2,MBA,0.625,medium,North,2026,1,0,1,6.85,0,1257000.0,21521.0,10.0
STUD_00112,7.47,3,3,none,1,3,6.0,1,3,ECE,0.546,medium,West,2025,1,1,1,10.71,0,2243000.0,30897.0,10.0
STUD_00113,7.57,1,1,high,6,4,10.0,0,2,Mechanical,0.59,medium,East,2026,0,1,1,7.82,0,1610000.0,34995.0,10.0
STUD_00114,10.0,0,0,none,3,4,10.0,1,2,MBA,0.511,high,East,2024,1,1,1,10.49,0,1693000.0,23314.0,10.0
STUD_00115,7.27,1,1,none,1,3,7.5,1,2,CSE,0.66,high,South,2024,0,1,1,9.54,0,1997000.0,43424.0,10.0
STUD_00116,7.86,0,2,none,7,0,8.0,4,2,CSE,0.754,high,North,2025,1,1,1,10.57,0,1837000.0,25307.0,10.0
STUD_00117,7.46,1,0,none,1,3,6.2,1,3,ECE,0.532,high,South,2025,0,1,1,8.17,0,1434000.0,31178.0,10.0
STUD_00118,6.1,1,1,high,3,4,6.7,3,2,MBA,0.698,high,South,2025,0,1,1,8.6,0,1783000.0,30521.0,10.0
STUD_00119,8.87,1,2,none,4,3,5.8,1,2,CSE,0.725,medium,North,2026,1,1,1,7.86,0,2946000.0,50443.0,10.0
STUD_00120,8.4,1,2,none,1,3,6.4,2,2,Electrical,0.555,low,North,2025,0,0,1,8.03,0,2223000.0,48341.0,10.0
STUD_00121,8.45,0,3,low,2,2,9.1,0,2,ECE,0.627,medium,North,2024,0,1,1,8.95,0,1553000.0,26585.0,10.0
STUD_00122,6.41,1,0,medium,3,2,8.4,2,3,ECE,0.486,low,South,2023,0,0,1,4.61,1,1636000.0,35572.0,10.0
STUD_00123,9.18,0,1,low,2,1,6.7,2,1,CSE,0.71,medium,North,2023,1,0,1,10.97,0,2573000.0,35441.0,10.0
STUD_00124,5.82,0,0,low,3,3,4.6,0,1,CSE,0.835,medium,South,2025,1,1,1,11.99,0,500000.0,6888.0,10.0
STUD_00125,8.2,1,0,low,3,1,7.6,0,1,MBA,0.761,medium,South,2025,1,1,1,8.71,0,1262000.0,21607.0,10.0
STUD_00126,10.0,0,0,none,1,2,8.0,4,3,Electrical,0.589,medium,West,2025,0,1,1,8.35,0,1781000.0,38722.0,10.0
STUD_00127,6.31,0,0,low,1,2,5.3,2,2,ECE,0.648,low,South,2026,0,0,0,8.35,0,1208000.0,26272.0,10.0
STUD_00128,6.82,1,0,high,1,3,7.6,1,3,Electrical,0.489,low,North,2026,0,0,1,5.66,1,2710000.0,46399.0,10.0
STUD_00129,7.62,0,1,medium,3,2,3.0,1,2,MBA,0.684,medium,North,2024,0,1,1,10.5,0,2490000.0,54130.0,10.0
STUD_00130,6.9,0,1,none,3,5,8.8,1,2,ECE,0.713,high,South,2025,0,1,1,10.19,0,2852000.0,62003.0,10.0
STUD_00131,5.64,3,3,medium,4,5,6.3,0,3,Mechanical,0.566,medium,West,2024,1,1,1,10.13,0,1780000.0,24515.0,10.0
STUD_00132,7.58,0,0,low,3,2,7.5,2,1,ECE,0.774,high,West,2026,1,1,1,9.47,0,3475000.0,47862.0,10.0
STUD_00133,6.23,0,0,medium,1,5,6.7,2,2,ECE,0.588,high,West,2025,1,1,1,8.89,0,1830000.0,39784.0,10.0
STUD_00134,8.07,0,2,none,1,7,7.4,3,2,CSE,0.685,medium,East,2023,1,1,1,10.33,0,1930000.0,41973.0,10.0
STUD_00135,6.4,1,1,none,2,4,6.6,0,2,Mechanical,0.717,medium,South,2024,1,0,1,8.37,0,1746000.0,24046.0,10.0
STUD_00136,9.36,0,2,medium,0,3,8.1,4,2,CSE,0.67,medium,South,2023,0,1,1,11.38,0,2163000.0,47026.0,10.0
STUD_00137,6.56,2,3,medium,2,4,8.3,2,1,MBA,0.66,low,South,2024,0,1,1,9.82,0,2701000.0,46255.0,10.0
STUD_00138,7.11,2,1,low,2,1,7.0,2,1,MBA,0.832,medium,North,2023,1,1,1,10.79,0,651000.0,11141.0,10.0
STUD_00139,8.48,0,1,none,2,7,8.5,1,2,CSE,0.603,high,North,2026,0,1,1,8.32,0,1107000.0,18955.0,10.0
STUD_00140,6.02,0,1,high,1,9,6.7,4,3,CSE,0.569,high,South,2025,1,1,1,7.56,0,2228000.0,48433.0,10.0
STUD_00141,7.77,1,1,low,2,3,4.7,2,1,ECE,0.798,high,South,2026,0,1,1,10.5,0,1299000.0,22235.0,10.0
STUD_00142,9.07,0,1,none,2,4,7.6,2,2,ECE,0.704,medium,South,2024,0,1,1,10.97,0,1374000.0,23534.0,10.0
STUD_00143,5.57,0,0,medium,1,5,8.7,1,1,CSE,0.66,high,West,2026,1,1,1,9.65,0,2413000.0,41311.0,10.0
STUD_00144,7.72,1,1,low,0,4,8.4,1,2,ECE,0.656,high,South,2025,1,1,1,8.83,0,1701000.0,36976.0,10.0
STUD_00145,7.81,0,1,none,3,2,7.3,4,2,CSE,0.653,high,South,2025,0,1,1,9.13,0,1146000.0,24914.0,10.0
STUD_00146,8.44,0,3,medium,2,3,5.0,2,3,CSE,0.622,high,North,2024,0,1,1,8.72,0,1666000.0,22947.0,10.0
STUD_00147,6.02,0,1,low,0,2,7.3,0,3,CSE,0.573,high,South,2025,0,0,1,5.17,1,2329000.0,39884.0,10.0
STUD_00148,5.92,1,2,medium,1,1,7.7,1,2,CSE,0.722,medium,West,2025,1,0,1,10.4,0,2150000.0,36806.0,10.0
STUD_00149,8.13,0,0,medium,4,3,5.7,1,1,MBA,0.777,medium,South,2023,1,1,1,11.66,0,2571000.0,55911.0,10.0
STUD_00150,7.86,0,0,low,2,0,7.5,2,1,Electrical,0.746,high,North,2025,1,1,1,8.49,0,2418000.0,33308.0,10.0
STUD_00151,7.8,0,2,none,5,4,7.4,0,3,ECE,0.56,medium,South,2023,0,1,1,7.34,0,1047000.0,14425.0,10.0
STUD_00152,7.92,1,1,high,2,4,9.5,0,2,ECE,0.726,low,South,2024,0,1,1,8.3,0,2121000.0,46117.0,10.0
STUD_00153,6.68,1,1,none,4,5,6.8,3,1,CSE,0.685,high,South,2026,0,0,1,10.18,0,2411000.0,41290.0,10.0
STUD_00154,7.78,0,1,high,0,4,5.3,4,1,ECE,0.795,medium,West,2024,0,0,1,10.66,0,1035000.0,17729.0,10.0
STUD_00155,7.85,0,3,none,3,6,8.9,1,2,CSE,0.619,high,North,2026,1,1,1,7.85,0,1972000.0,27160.0,10.0
STUD_00156,6.64,1,0,low,4,5,6.0,1,2,Mechanical,0.608,medium,West,2026,1,1,1,11.13,0,1276000.0,27746.0,10.0
STUD_00157,9.74,0,0,medium,1,4,9.3,3,3,Civil,0.601,high,South,2023,1,1,1,9.02,0,1085000.0,14951.0,10.0
STUD_00158,8.07,1,0,high,1,5,8.2,1,2,CSE,0.606,low,West,2026,0,1,1,9.21,0,1456000.0,31650.0,10.0
STUD_00159,6.07,0,0,medium,3,5,4.7,1,2,MBA,0.669,medium,East,2025,1,1,1,9.28,0,1498000.0,20634.0,10.0
STUD_00160,8.29,1,2,none,3,2,6.1,4,2,CSE,0.626,medium,West,2023,1,1,1,6.69,0,1599000.0,27370.0,10.0
STUD_00161,6.33,2,0,none,2,2,5.0,2,2,ECE,0.532,high,North,2023,0,1,1,8.48,0,1927000.0,26545.0,10.0
STUD_00162,8.44,1,2,low,3,2,5.9,2,2,CSE,0.674,medium,North,2024,0,1,1,10.52,0,1283000.0,21961.0,10.0
STUD_00163,8.89,0,3,none,3,5,6.2,0,3,ECE,0.556,medium,East,2024,1,1,1,7.81,0,1579000.0,27044.0,10.0
STUD_00164,6.52,1,0,medium,2,2,6.4,4,2,CSE,0.554,high,South,2025,1,1,1,7.85,0,2713000.0,58979.0,10.0
STUD_00165,8.66,0,1,high,5,4,6.8,1,2,ECE,0.615,high,South,2024,1,1,1,9.48,0,821000.0,11308.0,10.0
STUD_00166,8.0,1,1,medium,2,3,8.3,1,3,ECE,0.46,medium,North,2024,1,1,1,9.55,0,1617000.0,22275.0,10.0
STUD_00167,8.49,0,1,low,1,2,9.5,2,1,CSE,0.787,high,South,2024,0,1,1,10.37,0,2426000.0,33413.0,10.0
STUD_00168,9.78,0,1,low,2,1,7.9,0,2,Mechanical,0.719,medium,East,2025,1,1,1,9.74,0,2208000.0,37798.0,10.0
STUD_00169,7.21,1,1,low,1,2,6.8,0,2,Civil,0.692,high,West,2023,0,1,1,6.75,1,1237000.0,21174.0,10.0
STUD_00170,6.6,1,2,medium,2,5,5.3,0,3,ECE,0.599,high,North,2023,0,1,1,7.65,0,2306000.0,31762.0,10.0
STUD_00171,6.43,1,1,medium,2,0,4.2,2,1,CSE,0.724,medium,North,2026,1,0,1,9.42,0,1342000.0,29171.0,10.0
STUD_00172,6.52,1,2,medium,1,0,8.1,1,2,CSE,0.677,high,North,2026,0,1,1,9.92,0,3239000.0,44619.0,10.0
STUD_00173,7.41,2,2,medium,4,5,5.6,1,1,MBA,0.75,low,South,2026,1,0,1,9.72,0,619000.0,8524.0,10.0
STUD_00174,7.91,0,1,high,4,2,6.6,2,1,ECE,0.759,low,East,2025,0,0,1,10.06,0,1849000.0,25468.0,10.0
STUD_00175,7.83,0,0,high,1,5,7.4,0,3,ECE,0.598,medium,South,2025,1,1,1,9.68,0,3455000.0,75114.0,10.0
STUD_00176,8.49,0,0,medium,2,2,7.8,4,2,CSE,0.709,medium,West,2024,0,0,1,6.08,1,2066000.0,44911.0,10.0
STUD_00177,7.52,0,2,none,0,3,9.7,4,3,ECE,0.531,low,East,2026,0,1,1,6.95,1,1965000.0,42730.0,10.0
STUD_00178,9.24,0,1,medium,1,3,7.4,4,2,CSE,0.58,high,East,2025,1,1,1,7.75,0,2284000.0,49657.0,10.0
STUD_00179,7.18,0,0,low,3,0,5.7,1,2,Civil,0.641,medium,North,2023,1,1,1,8.13,0,2374000.0,51618.0,10.0
STUD_00180,10.0,0,1,medium,4,4,9.2,2,3,MBA,0.539,high,South,2026,1,1,1,7.29,0,1723000.0,37472.0,10.0
STUD_00181,8.25,0,0,medium,4,2,6.2,2,2,CSE,0.664,high,West,2024,0,0,1,10.02,0,2097000.0,45602.0,10.0
STUD_00182,6.47,0,0,medium,7,4,6.7,1,1,ECE,0.792,medium,South,2024,1,1,1,7.99,0,1667000.0,36248.0,10.0
STUD_00183,6.21,0,0,high,1,2,7.5,2,2,CSE,0.554,medium,East,2026,1,1,1,7.09,0,1314000.0,28577.0,10.0
STUD_00184,8.08,3,1,high,0,1,6.3,0,2,ECE,0.616,high,South,2024,0,1,1,9.0,0,1857000.0,25580.0,10.0
STUD_00185,7.23,2,1,medium,2,2,4.2,2,2,MBA,0.602,high,West,2023,1,1,1,11.22,0,845000.0,11639.0,10.0
STUD_00186,8.36,1,2,high,1,1,9.6,0,3,ECE,0.613,medium,South,2024,0,1,1,9.01,0,500000.0,8561.0,10.0
STUD_00187,8.07,1,1,medium,1,3,7.4,1,3,CSE,0.54,high,East,2024,1,1,1,8.33,0,2311000.0,50255.0,10.0
STUD_00188,7.41,1,0,none,5,0,8.1,0,3,CSE,0.524,medium,East,2026,0,0,0,8.71,0,2045000.0,28170.0,10.0
STUD_00189,6.48,0,2,none,2,3,3.8,0,3,MBA,0.577,medium,East,2025,1,1,1,9.47,0,1561000.0,33930.0,10.0
STUD_00190,5.68,0,0,none,0,7,6.0,3,2,Mechanical,0.62,high,South,2026,1,0,1,7.75,0,2028000.0,44088.0,10.0
